correct,incorrect
অওরত,আওরাত
অংশ গ্রহণ (ভাগ নেওয়া),অংশগ্রহণ
অংশগ্রহণ (যোগদান),অংশ গ্রহণ
অংশত,অংশতঃ
অংশীদার,অংশিদার
অংশীদারত্ব,অংশীদারিত্ব
অংশীদারি,অংশীদারী
অকথিত,অকথীত
অকথ্য,অকত্থ
অকপটে,অ-কপটে
অকর্মক,অ-কর্মক
অকর্মণ্য,অকর্ম্নণ্য
অকর্মা,অ-কর্মা
অকল্পনীয়,অকল্পণীয়
অকল্যাণ,অকল্যান
অকল্যাণকর,অকল্যাণ কর
অকস্মাৎ,অকস্যাৎ
অকাট্য,অকাঠ্য
অ-কার (অ-বর্ণের চিহ্ন),অকার
অকারান্ত,অ-কারান্ত
অকার্যকর,অকার্য কর
অকার্যকারিতা,অকার্যকারীতা
অকার্যকারী,অকার্যকারি
অকার্যক্ষম,অ কার্যক্ষম
অকালপক্ব,অকালপক্ক
অকালবর্ষণ,অকাল বর্ষণ
অকালবার্ধক্য,অকাল বার্ধক্য
অকালবোধন,অকাল বোধন
অকালমৃত্যু,অকাল মৃত্যু
অকিঞ্চিৎ,অকিঞ্চিত
অকিঞ্চিৎকর,অকিঞ্চিৎ কর
অকুণ্ঠ,অকুন্ঠ
অকুণ্ঠিত,অকুন্ঠিত
অকুণ্ঠিতচিত্ত (সরলমনা),অকুণ্ঠিত চিত্ত
অকুণ্ঠিত চিত্তে (সরল মনে),অকুণ্ঠিতচিত্তে
অকুতোভয়,অকুতভয়
অকুলান,অকূলান
অকুলীন (বংশমর্যাদাহীন),অকুলিন
অকুস্থল,অকুস্তল
অকূল,অকুল
অকৃতকার্য,অ-কৃতকার্য
অকৃতজ্ঞ,অ-কৃতজ্ঞ
অকৃতদার,অকৃত দার
অকৃত্রিম,অ-কৃত্রিম
অকেজো,অকেজ
অকেলাস (বিণ. দানাদার নয়),অ-কেলাস
অক্টেন,অকটেন
অক্টোপাস,অকটোপাস
অক্টোবর,অকটোবর
অক্রীত (বিণ.  যা কেনা হয়নি),অকৃত
অক্লান্তকর্মা,অক্লান্ত কর্মা
অক্লিষ্ট,অক্লিস্ট
অক্লিষ্টকর্মা,অক্লিষ্ট কর্মা
অক্লেশে,অক্লেসে
অক্ষ,অক্ষো
অক্ষত,অক্ষতো
"অক্ষতদেহ (বিণ. 
ক্ষতহীন দেহবিশিষ্ট)",অক্ষত দেহ
অক্ষত দেহে (অক্ষত দেহ নিয়ে),অক্ষতদেহে
"অক্ষতশরীর (বিণ. 
অক্ষতদেহ)",অক্ষত শরীর
অক্ষত শরীরে (অক্ষত শরীর নিয়ে),অক্ষতশরীরে
অক্ষদণ্ড,অক্ষ দণ্ড
অক্ষয়,অকখ্বয়
অক্ষরজ্ঞান,অক্ষর জ্ঞান
অক্ষরপরিচয়,অক্ষর পরিচয়
অক্ষরবিন্যাস,অক্ষর বিন্যাস
অক্ষরবৃত্ত,অক্ষর বৃত্ত
অক্ষরেখা,অক্ষ রেখা
অক্ষশক্তি,অক্ষ শক্তি
অক্ষাংশ,অক্ষংশ
অক্ষিকােটর,অক্ষি কােটর
অক্ষিগোলক,অক্ষি গোলক
অক্ষিতারকা,অক্ষি তারকা
অক্ষীয়,অক্ষিয়
অক্ষুণ্ন,অক্ষুন্ন
অক্সিজেন,অকসিজেন
অক্সিডেশন,অকসিডেশন
অখণ্ড,অখন্ড
অখণ্ডত্ব,অখণ্ড-ত্ব
অখণ্ডনীয়,অখন্ডণীয়
অখণ্ডিত,অখন্ডীত
অখণ্ড্য (অখণ্ডনীয়),অখণ্ড
অখাদ্য,অ-খাদ্য
অখুশি,অখুশী
অখ্যাত,অক্ষাত
অগণিত,অগনিত
অগত্যা,অগত্তা
অগভীর,অ-গভীর
অগুনতি,অগুণতি
অগোচর,অ-গোচর
অগোছালো,অগোছাল
অগ্নিকন্যা,অগ্নি কন্যা
অগ্নিকাণ্ড,অগ্নি কাণ্ড
অগ্নিকুণ্ড,অগ্নি কুণ্ড
অগ্নিকোণ,অগ্নি কোণ
অগ্নিগর্ভ,অগ্নি গর্ভ
অগ্নিগিরি,অগ্নি গিরি
অগ্নিদগ্ধ,অগ্নি দগ্ধ
অগ্নিনির্বাপণ,অগ্নিনির্বাপন
অগ্নিপরীক্ষা,অগ্নি পরীক্ষা
অগ্নিপূজা,অগ্নি পূজা
অগ্নিবর্ণ,অগ্নি বর্ণ
অগ্নিবর্ষণ,অগ্নি বর্ষণ
অগ্নিবলয়,অগ্নি বলয়
অগ্নিবীণা,অগ্নি বীণা
অগ্নিমন্ত্র,অগ্নি মন্ত্র
অগ্নিমান্দ্য,অগ্নি মান্দ্য
অগ্নিমূর্তি,অগ্নি মূর্তি
অগ্নিমূল্য,অগ্নি মূল্য
অগ্নিশর্মা,অগ্নি শর্মা
অগ্নিশিখা,অগ্নি শিখা
অগ্নিসংযোগ,অগ্নি সংযোগ
অগ্নিসাক্ষী,অগ্নি সাক্ষী
অগ্নিসাৎ,অগ্নিস্যাৎ
অগ্নিস্ফুলিঙ্গ,অগ্নি স্ফুলিঙ্গ
অগ্ন্যাশয়,অগ্নাশয়
অগ্ন্যুৎপাত,অগ্নুৎপাত
অগ্রগণ্য,অগ্রগন্য
অগ্রগতি,অগ্র গতি
অগ্রগামী,অগ্রগামি
অগ্রজ,অগ্রজো
অগ্রজপ্রতিম,অগ্রজ প্রতিম
অগ্রজিহ্বা,অগ্র জিহ্বা
অগ্রণী,অগ্রনী
অগ্রদূত,অগ্র দূত
অগ্রপশ্চাৎ,অগ্র-পশ্চাত
অগ্রবর্তী,অগ্রবর্তি
অগ্রভাগ,অগ্র ভাগ
অগ্রহণীয়,অগ্রহনীয়
অগ্রহায়ণ,অগ্রহায়ন
অগ্রাধিকার,অগ্রাধীকার
অগ্রাহ্য,অ-গ্রাহ্য
অগ্রিম,অগ্রীম
অঘটন,অঘটণ
অঘটনঘটনপটীয়সী,অঘটন ঘটন পটীয়সী
অঘটিত,অঘটীত
অঘোষধ্বনি,অঘোষ ধ্বনি
অঘোষিত,অঘোষীত
অঘ্রান (অগ্রহায়ণ),অঘ্রাণ
অঙ্ক,অংক
অঙ্কন,অঙ্কণ
অঙ্কবাচক,অঙ্ক বাচক
অঙ্কশাস্ত্র,অঙ্ক শাস্ত্র
অঙ্কশাস্ত্রবিদ,অঙ্ক শাস্ত্রবিদ
অঙ্কিত,অঙ্কীত
অঙ্কুর,অংকুর
অঙ্কুরিত,অঙ্কুরীত
অঙ্কুরোদ্‌গম,অংকুরোদগম
অঙ্গচ্ছেদন,অঙ্গছেদন
অঙ্গন,অঙ্গণ
অঙ্গপ্রত্যঙ্গ,অঙ্গ প্রত্যঙ্গ
অঙ্গবিকৃতি,অঙ্গ বিকৃতি
অঙ্গবৈকল্য,অঙ্গ বৈকল্য
অঙ্গভঙ্গি,অঙ্গভঙ্গী
অঙ্গরাজ্য,অঙ্গ রাজ্য
অঙ্গসংগঠন,অঙ্গ সংগঠন
অঙ্গসংস্থান,অঙ্গ সংস্থান
অঙ্গসৌষ্ঠব,অঙ্গ সৌষ্ঠব
অঙ্গহানি,অঙ্গহানী
অঙ্গাঙ্গি,অঙ্গাঙ্গী
অঙ্গাঙ্গিভাবে,অঙ্গাঙ্গি ভাবে
অঙ্গার,অংগার
অঙ্গীকরণ,অঙ্গিকরণ
অঙ্গীকারবদ্ধ,অঙ্গীকারাবদ্ধ
অঙ্গীকৃত,অঙ্গিকৃত
অঙ্গীভূত,অঙ্গীভুত
অঙ্গুলি,"অংগুলি, অঙ্গুলী"
অঙ্গুলিনির্দেশ,অংগুলি নির্দেশ
অঙ্গুলিসংকেত,অংগুলি সংকেত
অশিশকৎসনীয়,অশিশকৎস্যনীয়
অচিকিৎসনীয়,অচিকিৎস্যনীয়
অচিন,অচীন
অচিন্তনীয়,অচিন্ত্যনীয়
অচিন্তিতপূর্ব,অচিন্তিত পূর্ব
অচিহ্নিত,অচিহ্নীত
অচূর্ণিত,অচুর্নীত
অচেতন,অ-চেতন
অচেষ্টিত,অচেষ্টীত
অচৈতন্য,অ-চৈতন্য
অচ্ছুত,অচ্ছুৎ
অচ্ছেদ্য,অছেদ্য
অছি,ওছি
অছিয়তনামা,ওছিয়তনামা
অজ পাড়াগাঁ,অজপাড়াগাঁ
অজন্মা,অ-জন্মা
অজস্র,অজশ্র
অজানিত,অজানীত
অজান্তে,অজানতে
অজীর্ণ,অজীর্ন
অজু,অযু
অজুহাত,ওজুহাত
অজৈব,অ-জৈব
অজৈব সার,অজৈবসার
অজ্ঞাত,অ-জ্ঞাত
অজ্ঞাতনামা,অজ্ঞাত নামা
অজ্ঞাতপরিচয়,অজ্ঞাত পরিচয়
অজ্ঞাতসারে,অজ্ঞাত সারে
অজ্ঞাপনীয়,অজ্ঞাপণীয়
অজ্ঞাবাদ,অজ্ঞা বাদ
অজ্ঞাবাদী,অজ্ঞা বাদি
অজ্ঞেয়,অ-জ্ঞেয়
অজ্ঞেয়বাদ,অজ্ঞেয় বাদ
অঞ্জলি,অঞ্জলী
অটবি,অটবী
অটল,অ-টল
অটুট,অটূট
অটোগ্রাফ,অটো গ্রাফ
অটোম্যাটিক,অটোমেটিক
অট্টালিকা,অট্রালিকা
অডিট,ওডিট
অডিটর,ওডিটর
অডিশন,অডিসন
অড়বরই,অড়বড়ই
অড়হর,অরহর
অঢেল,অ-ঢেল
অণু,অনু
অণুজীব,অনুজীব
অণুবীক্ষণ,অনুবীক্ষণ
অণ্ডকোষ,অন্ডকোষ
অতএব,অতঃএব
অতঃপর,অতপর
অতর্কিত,অতর্কীত
অতলান্তিক,অতলান্তীক
অতশত,অতোশতো
অতি,অতী
অতিকথন,অতীকথন
অতিকায়,অতীকায়
অতিক্রমণীয়,অতিক্রমনীয়
অতিক্রম্য,অতিক্রাম্য
অতিক্রান্ত,অতীক্রান্ত
অতিচালাক,অতি চালাক
অতিথিপরায়ণ,অতিথিপরায়ন
অতিথিবৎসল,অতিথি বৎসল
অতিথিশালা,অতিথি শালা
অতিপ্রাকৃত,অতিপ্রকৃত
অতিবাহিত,অতিবাহীত
অতিবৃষ্টি,অতীবৃষ্টি
অতিবেগুনি,অতিবেগুনী
অতিভুজ,অতিভূজ
অতিমানব,অতীমানব
অতিমানবিক,অতীমানবিক
