শুদ্ধ,অশুদ্ধ/বর্জনীয়
অওরত,আওরাত
অংশ গ্রহণ (ভাগ নেওয়া),অংশগ্রহণ
অংশগ্রহণ (যোগদান),অংশ গ্রহণ
অংশত,অংশতঃ
অংশীদার,অংশিদার
অংশীদারত্ব,অংশীদারিত্ব
অংশীদারি,অংশীদারী
অকথিত,অকথীত
অকথ্য,অকত্থ
অকপটে,অ-কপটে
অকর্মক,অ-কর্মক
অকর্মণ্য,অকর্ম্নণ্য
অকর্মা,অ-কর্মা
অকল্পনীয়,অকল্পণীয়
অকল্যাণ,অকল্যান
অকল্যাণকর,অকল্যাণ কর
অকস্মাৎ,অকস্যাৎ
অকাট্য,অকাঠ্য
অ-কার (অ-বর্ণের চিহ্ন),অকার
অকারান্ত,অ-কারান্ত
অকার্যকর,অকার্য কর
অকার্যকারিতা,অকার্যকারীতা
অকার্যকারী,অকার্যকারি
অকার্যক্ষম,অ কার্যক্ষম
অকালপক্ব,অকালপক্ক
অকালবর্ষণ,অকাল বর্ষণ
অকালবার্ধক্য,অকাল বার্ধক্য
অকালবোধন,অকাল বোধন
অকালমৃত্যু,অকাল মৃত্যু
অকিঞ্চিৎ,অকিঞ্চিত
অকিঞ্চিৎকর,অকিঞ্চিৎ কর
অকুণ্ঠ,অকুন্ঠ
অকুণ্ঠিত,অকুন্ঠিত
অকুণ্ঠিতচিত্ত (সরলমনা),অকুণ্ঠিত চিত্ত
অকুণ্ঠিত চিত্তে (সরল মনে),অকুণ্ঠিতচিত্তে
অকুতোভয়,অকুতভয়
অকুলান,অকূলান
অকুলীন (বংশমর্যাদাহীন),অকুলিন
অকুস্থল,অকুস্তল
অকূল,অকুল
অকৃতকার্য,অ-কৃতকার্য
অকৃতজ্ঞ,অ-কৃতজ্ঞ
অকৃতদার,অকৃত দার
অকৃত্রিম,অ-কৃত্রিম
অকেজো,অকেজ
অকেলাস (বিণ. দানাদার নয়),অ-কেলাস
অক্টেন,অকটেন
অক্টোপাস,অকটোপাস
অক্টোবর,অকটোবর
অক্রীত (বিণ. যা কেনা হয়নি),অকৃত
অক্লান্তকর্মা,অক্লান্ত কর্মা
অক্লিষ্ট,অক্লিস্ট
অক্লিষ্টকর্মা,অক্লিষ্ট কর্মা
অক্লেশে,অক্লেসে
অক্ষ,অক্ষো
শুদ্ধ,অশুদ্ধ/বর্জনীয়
অক্ষত,অক্ষতো
অক্ষতদেহ (বিণ. ক্ষতহীন দেহবিশিষ্ট),অক্ষত দেহ
অক্ষত দেহে (অক্ষত দেহ নিয়ে),অক্ষতদেহে
অক্ষতদেহ),অক্ষত শরীর
অক্ষত শরীরে (অক্ষত শরীর নিয়ে),অক্ষতশরীরে
অক্ষদণ্ড,অক্ষ দণ্ড
অক্ষয়,অকখ্বয়
অক্ষরজ্ঞান,অক্ষর জ্ঞান
অক্ষরপরিচয়,অক্ষর পরিচয়
অক্ষরবিন্যাস,অক্ষর বিন্যাস
অক্ষরবৃত্ত,অক্ষর বৃত্ত
অক্ষরেখা,অক্ষ রেখা
অক্ষশক্তি,অক্ষ শক্তি
অক্ষাংশ,অক্ষংশ
অক্ষিকােটর,অক্ষি কােটর
অক্ষিগোলক,অক্ষি গোলক
অক্ষিতারকা,অক্ষি তারকা
অক্ষীয়,অক্ষিয়
অক্ষুণ্ন,অক্ষুন্ন
অক্সিজেন,অকসিজেন
অক্সিডেশন,অকসিডেশন
অখণ্ড,অখন্ড
অখণ্ডত্ব,অখণ্ড-ত্ব
অখণ্ডনীয়,অখন্ডণীয়
অখণ্ডিত,অখন্ডীত
অখণ্ড্য (অখণ্ডনীয়),অখণ্ড
অখাদ্য,অ-খাদ্য
অখুশি,অখুশী
অখ্যাত,অক্ষাত
অগণিত,অগনিত
অগত্যা,অগত্তা
অগভীর,অ-গভীর
অগুনতি,অগুণতি
অগোচর,অ-গোচর
অগোছালো,অগোছাল
অগ্নিকন্যা,অগ্নি কন্যা
অগ্নিকাণ্ড,অগ্নি কাণ্ড
